id_infra,type_infra
P007790,fourreau
P007764,semi-aerien
P007459,aerien
P007196,aerien
P007410,fourreau
P000476,fourreau
P007327,aerien
P007250,fourreau
P007310,aerien
P007506,aerien
P007221,fourreau
P007346,aerien
P007193,aerien
P007447,fourreau
P007476,fourreau
P007340,semi-aerien
P007198,fourreau
P007255,semi-aerien
P007544,aerien
P007178,aerien
P008018,aerien
P000635,aerien
P007168,semi-aerien
P007260,fourreau
P007368,aerien
P007339,aerien
P007303,semi-aerien
P000113,fourreau
P007689,aerien
P007641,aerien
P007167,aerien
P007194,fourreau
P007386,aerien
P000216,fourreau
P007356,semi-aerien
P003870,aerien
P007204,aerien
P000015,fourreau
P003934,aerien
P000170,aerien
P007631,fourreau
P007686,aerien
P007584,aerien
P007378,fourreau
P000126,aerien
P008016,fourreau
P007145,aerien
P007817,semi-aerien
P007572,aerien
P007995,aerien
P007182,fourreau
P008034,fourreau
P000049,fourreau
P007148,fourreau
P007566,fourreau
P002445,aerien
P007341,fourreau
P000296,aerien
P007813,fourreau
P007256,fourreau
P007307,aerien
P007286,aerien
P000360,semi-aerien
P000740,fourreau
P007387,aerien
P007695,fourreau
P000289,semi-aerien
P007157,aerien
P007602,aerien
P007265,aerien
P007203,aerien
P007412,aerien
P000198,aerien
P000046,aerien
P000279,aerien
P007331,aerien
P007131,fourreau
P008020,aerien
P007996,aerien
P007181,fourreau
P005193,fourreau
P000732,aerien
P000214,aerien
P007229,fourreau
P007393,fourreau
P007802,semi-aerien
P007166,aerien
P007264,fourreau
P007233,semi-aerien
P007407,fourreau
P007314,aerien
P007269,aerien
P007731,fourreau
P008007,aerien
P007337,fourreau
P004862,aerien
P007206,semi-aerien
P000317,aerien
P000400,aerien
P000148,aerien
P007200,aerien
P000134,aerien
P000075,fourreau
P007780,fourreau
P000374,fourreau
P007133,aerien
P000142,fourreau
P007270,aerien
P007218,fourreau
P007391,aerien
P000185,aerien
P000040,aerien
P007162,aerien
P008017,aerien
P007222,aerien
P004271,fourreau
P007727,aerien
P007223,aerien
P007321,fourreau
P007597,fourreau
P007205,semi-aerien
P004185,aerien
P007183,aerien
P000348,aerien
P007249,aerien
P007280,aerien
P000230,fourreau
P007335,aerien
P000265,fourreau
P007766,semi-aerien
P007392,aerien
P007320,fourreau
P007768,aerien
P007991,fourreau
P007124,aerien
P007226,aerien
P007986,semi-aerien
P008005,aerien
P000347,aerien
P007703,semi-aerien
P005100,aerien
P000352,aerien
P000604,semi-aerien
P007143,aerien
P007987,aerien
P007360,semi-aerien
P000064,aerien
P007565,aerien
P007216,aerien
P007359,aerien
P006709,aerien
P007361,aerien
P004284,aerien
P000123,fourreau
P007121,fourreau
P007140,fourreau
P007514,aerien
P000068,fourreau
P003802,aerien
P000398,aerien
P000181,aerien
P007164,aerien
P002717,fourreau
P007375,aerien
P000342,aerien
P007177,aerien
P000192,aerien
P007228,aerien
P000284,aerien
P004251,aerien
P000258,aerien
P007567,aerien
P007810,fourreau
P007262,aerien
P007539,aerien
P007330,aerien
P007165,aerien
P007333,aerien
P000209,aerien
P000462,fourreau
P008021,aerien
P007172,aerien
P007324,aerien
P005726,aerien
P000339,aerien
P007304,aerien
P000058,fourreau
P007287,semi-aerien
P000381,aerien
P007271,aerien
P007163,semi-aerien
P000328,fourreau
P008032,aerien
P007369,fourreau
P007273,aerien
P007158,semi-aerien
P007416,aerien
P000264,aerien
P008033,fourreau
P007207,fourreau
P007281,fourreau
P007126,aerien
P008012,aerien
P007390,fourreau
P000163,fourreau
P007248,fourreau
P000310,aerien
P000744,aerien
P007529,aerien
P004261,semi-aerien
P008029,semi-aerien
P008030,semi-aerien
P007990,aerien
P000166,fourreau
P007151,aerien
P007224,fourreau
P007188,aerien
P007258,semi-aerien
P007385,aerien
P000378,aerien
P007396,fourreau
P007618,aerien
P007383,aerien
P000275,fourreau
P007214,aerien
P007146,aerien
P000349,fourreau
P007186,aerien
P007152,fourreau
P007770,aerien
P007355,fourreau
P007533,semi-aerien
P007122,fourreau
P008028,aerien
P007240,aerien
P000153,aerien
P008004,fourreau
P007478,semi-aerien
P007609,aerien
P007246,semi-aerien
P007159,aerien
P000873,aerien
P000052,aerien
P008025,aerien
P001156,aerien
P007306,aerien
P007984,aerien
P008008,aerien
P007624,aerien
P007251,aerien
P007317,aerien
P007189,aerien
P007129,fourreau
P000141,aerien
P007241,aerien
P000365,fourreau
P007160,semi-aerien
P000121,fourreau
P007132,aerien
P007191,aerien
P000196,aerien
P000009,fourreau
P007343,aerien
P007763,aerien
P007323,aerien
P007312,fourreau
P007235,aerien
P007397,aerien
P000277,aerien
P007128,aerien
P000115,fourreau
P007161,aerien
P007403,fourreau
P006106,aerien
P005770,aerien
P007187,fourreau
P007367,fourreau
P007247,fourreau
P007518,aerien
