id_batiment,infra_id,infra_etat,longueur
E000001,P007111,infra_intacte,12.3144613356693
E000001,P007983,infra_intacte,40.3209288665353
E000001,P000308,infra_intacte,39.1407985664577
E000001,P007819,infra_intacte,17.3904643240185
E000002,P007111,infra_intacte,12.3144613356693
E000002,P007983,infra_intacte,40.3209288665353
E000002,P000308,infra_intacte,39.1407985664577
E000002,P007240,infra_intacte,10.9146257880949
E000003,P007111,infra_intacte,12.3144613356693
E000003,P007111,infra_intacte,12.3144613356693
E000003,P007113,a_remplacer,12.1935087083631
E000003,P007984,a_remplacer,30.0575979492587
E000003,P007823,a_remplacer,12.290282829583
E000004,P007111,infra_intacte,12.3144613356693
E000004,P007983,infra_intacte,40.3209288665353
E000004,P000308,infra_intacte,39.1407985664577
E000004,P000378,infra_intacte,27.4818057324541
E000004,P007393,infra_intacte,10.6355248457681
E000005,P007111,infra_intacte,12.3144613356693
E000005,P007983,infra_intacte,40.3209288665353
E000005,P000308,infra_intacte,39.1407985664577
E000005,P000378,infra_intacte,27.4818057324541
E000005,P007249,infra_intacte,14.6437823794193
E000006,P007111,infra_intacte,12.3144613356693
E000006,P007983,infra_intacte,40.3209288665353
E000006,P000308,infra_intacte,39.1407985664577
E000006,P000308,infra_intacte,39.1407985664577
E000006,P007173,infra_intacte,8.70234350887561
E000007,P007111,infra_intacte,12.3144613356693
E000007,P007111,infra_intacte,12.3144613356693
E000007,P007111,infra_intacte,12.3144613356693
E000007,P007982,infra_intacte,49.956115228201
E000007,P000181,infra_intacte,6.18934271279126
E000007,P007132,infra_intacte,6.38798150462252
E000008,P007111,infra_intacte,12.3144613356693
E000008,P007111,infra_intacte,12.3144613356693
E000008,P007111,infra_intacte,12.3144613356693
E000008,P007982,infra_intacte,49.956115228201
E000008,P000352,infra_intacte,3.33298661989259
E000008,P007320,infra_intacte,5.49514798849418
E000009,P007111,infra_intacte,12.3144613356693
E000009,P007111,infra_intacte,12.3144613356693
E000009,P007111,infra_intacte,12.3144613356693
E000009,P007982,infra_intacte,49.956115228201
E000009,P000352,infra_intacte,3.33298661989259
E000009,P007286,infra_intacte,7.27509782129326
E000010,P007111,infra_intacte,12.3144613356693
E000010,P007111,infra_intacte,12.3144613356693
E000010,P007111,infra_intacte,12.3144613356693
E000010,P007982,infra_intacte,49.956115228201
E000010,P000352,infra_intacte,3.33298661989259
E000010,P007115,infra_intacte,10.5939670191223
E000011,P007111,infra_intacte,12.3144613356693
E000011,P007111,infra_intacte,12.3144613356693
E000011,P007111,infra_intacte,12.3144613356693
E000011,P007982,infra_intacte,49.956115228201
E000011,P000352,infra_intacte,3.33298661989259
E000011,P007321,infra_intacte,12.8143378133663
E000012,P007111,infra_intacte,12.3144613356693
E000012,P007111,infra_intacte,12.3144613356693
E000012,P007111,infra_intacte,12.3144613356693
E000012,P007982,infra_intacte,49.956115228201
E000012,P000241,infra_intacte,75.9819951693543
E000012,P007150,infra_intacte,8.33214989007513
E000013,P007111,infra_intacte,12.3144613356693
