id_batiment,infra_id,infra_etat,longueur,type_batiment,nb_maisons,type_infra
E000017,P000029,infra_intacte,18.9457207565174,habitation,7,aerien
E000017,P007325,infra_intacte,8.42688269265196,habitation,7,fourreau
E000018,P007111,infra_intacte,12.3144613356693,habitation,3,fourreau
E000018,P007111,infra_intacte,12.3144613356693,habitation,3,fourreau
E000018,P007111,infra_intacte,12.3144613356693,habitation,3,fourreau
E000018,P007982,infra_intacte,49.956115228201,habitation,3,fourreau
E000018,P000241,infra_intacte,75.9819951693543,habitation,3,fourreau
E000018,P000029,infra_intacte,18.9457207565174,habitation,3,aerien
E000018,P007381,infra_intacte,9.80887356986274,habitation,3,semi-aerien
E000019,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
E000019,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
E000019,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
E000019,P007982,infra_intacte,49.956115228201,habitation,2,fourreau
E000019,P000241,infra_intacte,75.9819951693543,habitation,2,fourreau
E000019,P000170,infra_intacte,21.8831919484578,habitation,2,aerien
E000019,P007215,infra_intacte,7.51222531488334,habitation,2,fourreau
E000020,P007111,infra_intacte,12.3144613356693,habitation,7,fourreau
E000020,P007111,infra_intacte,12.3144613356693,habitation,7,fourreau
E000020,P007111,infra_intacte,12.3144613356693,habitation,7,fourreau
E000020,P007982,infra_intacte,49.956115228201,habitation,7,fourreau
E000020,P000241,infra_intacte,75.9819951693543,habitation,7,fourreau
E000020,P000170,infra_intacte,21.8831919484578,habitation,7,aerien
E000020,P007145,infra_intacte,7.75407103642654,habitation,7,aerien
E000021,P007111,infra_intacte,12.3144613356693,habitation,3,fourreau
E000021,P007111,infra_intacte,12.3144613356693,habitation,3,fourreau
E000021,P007111,infra_intacte,12.3144613356693,habitation,3,fourreau
E000021,P007982,infra_intacte,49.956115228201,habitation,3,fourreau
E000021,P000241,infra_intacte,75.9819951693543,habitation,3,fourreau
E000021,P000170,infra_intacte,21.8831919484578,habitation,3,aerien
E000021,P007225,infra_intacte,10.3993778636477,habitation,3,aerien
E000022,P007111,infra_intacte,12.3144613356693,habitation,6,fourreau
E000022,P007111,infra_intacte,12.3144613356693,habitation,6,fourreau
E000022,P007111,infra_intacte,12.3144613356693,habitation,6,fourreau
E000022,P007982,infra_intacte,49.956115228201,habitation,6,fourreau
E000022,P000241,infra_intacte,75.9819951693543,habitation,6,fourreau
E000022,P000040,infra_intacte,15.2944907641422,habitation,6,aerien
E000022,P007277,infra_intacte,9.02547153965115,habitation,6,aerien
E000023,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
